"filename", "language", "C#", "JSON", "Markdown", "ShaderLab", "XML", "HTML", "comment", "blank", "total"
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\WorkItemProcessor.cs", "C#", 167, 0, 0, 0, 0, 0, 129, 43, 339
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Nodes\GraphNode.cs", "C#", 330, 0, 0, 0, 0, 0, 385, 97, 812
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Path.cs", "C#", 375, 0, 0, 0, 0, 0, 360, 111, 846
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\PathHandler.cs", "C#", 100, 0, 0, 0, 0, 0, 76, 34, 210
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\JsonConverters.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\JsonSerializer.cs", "C#", 577, 0, 0, 0, 0, 0, 159, 176, 912
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\SimpleJsonReplacement.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\SimpleZipReplacement.cs", "C#", 62, 0, 0, 0, 0, 0, 0, 18, 80
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Serialization\TinyJson.cs", "C#", 383, 0, 0, 0, 0, 0, 30, 54, 467
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\astarclasses.cs", "C#", 518, 0, 0, 0, 0, 0, 543, 145, 1206
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Documentation\documentation.html", "HTML", 0, 0, 0, 0, 0, 15381, 0, 1662, 17043
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Documentation\index.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AIBaseEditor.cs", "C#", 134, 0, 0, 0, 0, 0, 3, 25, 162
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AILerpEditor.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AnimationLinkEditor.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AstarPathEditor.cs", "C#", 1041, 0, 0, 0, 0, 0, 107, 295, 1443
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AstarUpdateChecker.cs", "C#", 228, 0, 0, 0, 0, 0, 36, 44, 308
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\AstarUpdateWindow.cs", "C#", 81, 0, 0, 0, 0, 0, 1, 22, 104
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\CustomGraphEditorAttribute.cs", "C#", 12, 0, 0, 0, 0, 0, 4, 4, 20
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.cginc", "ShaderLab", 0, 0, 0, 51, 0, 0, 19, 8, 78
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\Navmesh.shader", "ShaderLab", 0, 0, 0, 89, 0, 0, 2, 28, 119
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\EditorAssets\Materials\NavmeshOutline.shader", "ShaderLab", 0, 0, 0, 70, 0, 0, 3, 15, 88
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphEditors\GraphEditor.cs", "C#", 107, 0, 0, 0, 0, 0, 14, 25, 146
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphEditors\GridGeneratorEditor.cs", "C#", 562, 0, 0, 0, 0, 0, 28, 141, 731
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphEditors\NavMeshGeneratorEditor.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphEditors\PointGeneratorEditor.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 14, 52
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\GraphUpdateSceneEditor.cs", "C#", 257, 0, 0, 0, 0, 0, 11, 51, 319
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\Legacy\LegacyAIPathEditor2.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\Legacy\LegacyEditorHelper2.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\ModifierEditors\RaycastModifierEditor.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\ModifierEditors\SmoothModifierEditor.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\ProceduralGridMoverEditor.cs", "C#", 23, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Editor\SeekerEditor.cs", "C#", 116, 0, 0, 0, 0, 0, 4, 22, 142
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\Example12_Procedural\ProceduralWorld.cs", "C#", 175, 0, 0, 0, 0, 0, 52, 55, 282
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\AstarSmoothFollow2.cs", "C#", 26, 0, 0, 0, 0, 0, 8, 5, 39
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\DoorController.cs", "C#", 38, 0, 0, 0, 0, 0, 9, 13, 60
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAI.cs", "C#", 36, 0, 0, 0, 0, 0, 14, 6, 56
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAnimation.cs", "C#", 32, 0, 0, 0, 0, 0, 31, 11, 74
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\ObjectPlacer.cs", "C#", 52, 0, 0, 0, 0, 0, 14, 13, 79
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\SnapToNode.cs", "C#", 16, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\TargetMover.cs", "C#", 51, 0, 0, 0, 0, 0, 15, 12, 78
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\Materials\DiffuseAlwaysVisible.shader", "ShaderLab", 0, 0, 0, 30, 0, 0, 0, 16, 46
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\ExampleScenes\Materials\Projector Light.shader", "ShaderLab", 0, 0, 0, 26, 0, 0, 0, 0, 26
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Base.cs", "C#", 291, 0, 0, 0, 0, 0, 314, 95, 700
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\GridGenerator.cs", "C#", 1157, 0, 0, 0, 0, 0, 741, 345, 2243
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NavMeshGenerator.cs", "C#", 161, 0, 0, 0, 0, 0, 60, 52, 273
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NavmeshBase.cs", "C#", 798, 0, 0, 0, 0, 0, 336, 233, 1367
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNode.cs", "C#", 241, 0, 0, 0, 0, 0, 57, 64, 362
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNodeBase.cs", "C#", 207, 0, 0, 0, 0, 0, 98, 58, 363
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NodeClasses\PointNode.cs", "C#", 146, 0, 0, 0, 0, 0, 86, 41, 273
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NodeClasses\TriangleMeshNode.cs", "C#", 250, 0, 0, 0, 0, 0, 120, 91, 461
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\PointGenerator.cs", "C#", 318, 0, 0, 0, 0, 0, 184, 90, 592
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\QuadtreeGraph.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\BBTree.cs", "C#", 359, 0, 0, 0, 0, 0, 103, 86, 548
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\EuclideanEmbedding.cs", "C#", 32, 0, 0, 0, 0, 0, 12, 15, 59
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\GraphTransform.cs", "C#", 141, 0, 0, 0, 0, 0, 43, 32, 216
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\GridLookup.cs", "C#", 132, 0, 0, 0, 0, 0, 35, 26, 193
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\NavMeshRenderer.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\NavmeshTile.cs", "C#", 38, 0, 0, 0, 0, 0, 18, 21, 77
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\ObjImporter.cs", "C#", 212, 0, 0, 0, 0, 0, 15, 17, 244
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\PointKDTree.cs", "C#", 212, 0, 0, 0, 0, 0, 53, 45, 310
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\Editor\LegacyAIPathEditor.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\Editor\LegacyEditorHelper.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRVOControllerEditor.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRichAIEditor.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\LegacyAIPath.cs", "C#", 141, 0, 0, 0, 0, 0, 99, 53, 293
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\MiscLegacy.cs", "C#", 22, 0, 0, 0, 0, 0, 21, 6, 49
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\AlternativePath.cs", "C#", 62, 0, 0, 0, 0, 0, 17, 18, 97
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\FunnelModifier.cs", "C#", 51, 0, 0, 0, 0, 0, 47, 11, 109
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\Modifiers.cs", "C#", 48, 0, 0, 0, 0, 0, 26, 16, 90
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\RaycastModifier.cs", "C#", 191, 0, 0, 0, 0, 0, 86, 41, 318
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\SimpleSmoothModifier.cs", "C#", 235, 0, 0, 0, 0, 0, 52, 80, 367
