Date : 2023-04-22 19:33:31
Directory : c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut
Total : 230 files,  47599 codes, 11976 comments, 10156 blanks, all 69731 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NodeClasses\PointNode.cs                   | C#        |        146 |         86 |         41 |        273 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\NodeClasses\TriangleMeshNode.cs            | C#        |        250 |        120 |         91 |        461 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\PointGenerator.cs                          | C#        |        318 |        184 |         90 |        592 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\QuadtreeGraph.cs                           | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\BBTree.cs                        | C#        |        359 |        103 |         86 |        548 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\EuclideanEmbedding.cs            | C#        |         32 |         12 |         15 |         59 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\GraphTransform.cs                | C#        |        141 |         43 |         32 |        216 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\GridLookup.cs                    | C#        |        132 |         35 |         26 |        193 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\NavMeshRenderer.cs               | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\NavmeshTile.cs                   | C#        |         38 |         18 |         21 |         77 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\ObjImporter.cs                   | C#        |        212 |         15 |         17 |        244 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Generators\Utilities\PointKDTree.cs                   | C#        |        212 |         53 |         45 |        310 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\Editor\LegacyAIPathEditor.cs                   | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\Editor\LegacyEditorHelper.cs                   | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRVOControllerEditor.cs            | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRichAIEditor.cs                   | C#        |          0 |          3 |          2 |          5 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\LegacyAIPath.cs                                | C#        |        141 |         99 |         53 |        293 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Legacy\MiscLegacy.cs                                  | C#        |         22 |         21 |          6 |         49 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\AlternativePath.cs                          | C#        |         62 |         17 |         18 |         97 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\FunnelModifier.cs                           | C#        |         51 |         47 |         11 |        109 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\Modifiers.cs                                | C#        |         48 |         26 |         16 |         90 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\RaycastModifier.cs                          | C#        |        191 |         86 |         41 |        318 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\SimpleSmoothModifier.cs                     | C#        |        235 |         52 |         80 |        367 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Modifiers\StartEndModifier.cs                         | C#        |        126 |        124 |         36 |        286 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Navmesh\NavmeshUpdates.cs                             | C#        |         20 |         33 |          3 |         56 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Navmesh\RelevantGraphSurface.cs                       | C#        |         67 |         11 |         17 |         95 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\PackageTools\Editor\EditorBase.cs                     | C#        |        200 |          9 |         38 |        247 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\PackageTools\Editor\EditorGUIx.cs                     | C#        |        164 |         39 |         43 |        246 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\PackageTools\Editor\EnumFlagDrawer.cs                 | C#        |         32 |          3 |          5 |         40 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\PackageTools\EnumFlagAttribute.cs                     | C#        |          5 |          1 |          2 |          8 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\PackageTools\UniqueComponentAttribute.cs              | C#        |          6 |          0 |          1 |          7 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\PackageTools\VersionedMonoBehaviour.cs                | C#        |         31 |         12 |         11 |         54 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Pathfinders\ABPath.cs                                 | C#        |        390 |        259 |        108 |        757 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\TurnBased\BlockManager.cs                             | C#        |         97 |         49 |         24 |        170 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\TurnBased\SingleNodeBlocker.cs                        | C#        |         32 |         30 |          8 |         70 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\AstarChecksum.cs                            | C#        |         12 |          6 |          4 |         22 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\AstarMemory.cs                              | C#        |         50 |         48 |         12 |        110 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\AstarParallel.cs                            | C#        |         72 |         25 |         11 |        108 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\AstarProfiler.cs                            | C#        |        145 |         45 |         36 |        226 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\DotNetReplacements.cs                       | C#        |        118 |         11 |         35 |        164 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\DynamicGridObstacle.cs                      | C#        |        127 |         73 |         36 |        236 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\Funnel.cs                                   | C#        |        267 |         91 |         75 |        433 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\GraphGizmoHelper.cs                         | C#        |        125 |         18 |         22 |        165 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\GraphUpdateUtilities.cs                     | C#        |         34 |         61 |         15 |        110 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\PathUtilities.cs                            | C#        |        263 |        193 |         81 |        537 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\ProceduralGridMover.cs                      | C#        |        194 |        133 |         50 |        377 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\ProfileHelper.cs                            | C#        |         99 |          5 |         20 |        124 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\RetainedGizmos.cs                           | C#        |        243 |         80 |         54 |        377 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Utilities\UnityReferenceHelper.cs                     | C#        |         30 |          6 |          5 |         41 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\link.xml                                              | XML       |         22 |          0 |          0 |         22 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\package.json                                          | JSON      |         42 |          0 |          0 |         42 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\BossCamera.cs                                                                 | C#        |         31 |          1 |         12 |         44 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Prefab\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs                | C#        |         98 |         80 |         25 |        203 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Prefab\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs           | C#        |        109 |         18 |         20 |        147 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Prefab\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs              | C#        |        137 |         60 |         20 |        217 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Prefab\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs            | C#        |        125 |         51 |         18 |        194 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Prefab\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs               | C#        |         63 |         17 |         14 |         94 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Prefab\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs                   | C#        |        390 |        203 |         70 |        663 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Prefab\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs         | C#        |        264 |         99 |         41 |        404 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Prefab\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs                | C#        |        123 |         27 |         18 |        168 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Bullet.cs                                                              | C#        |         46 |          3 |         17 |         66 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\DangeSignPopUp.cs                                                      | C#        |         17 |          1 |          8 |         26 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\EnemyShooter.cs                                                        | C#        |         12 |          2 |          5 |         19 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Health.cs                                                              | C#        |         69 |          0 |         16 |         85 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Items\Guns.cs                                                          | C#        |        145 |          8 |         35 |        188 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Items\Item_Gun.cs                                                      | C#        |         43 |         10 |         13 |         66 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Items\Item_Melee.cs                                                    | C#        |         43 |          2 |         10 |         55 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Items\Objects_Guns.cs                                                  | C#        |         21 |          0 |          6 |         27 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Items\Objects_Weapons.cs                                               | C#        |         20 |          0 |          5 |         25 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Items\Weapon.cs                                                        | C#        |        107 |          5 |         29 |        141 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\AimWithGun.cs                                                   | C#        |         33 |          0 |          8 |         41 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\AimWithWeapon.cs                                                | C#        |         47 |          0 |          7 |         54 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\Mouse.cs                                                        | C#        |         17 |          0 |          5 |         22 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\Player.cs                                                       | C#        |         71 |          2 |         24 |         97 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\PlayerMovment.cs                                                | C#        |         73 |          7 |         27 |        107 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\ShakeManager.cs                                                 | C#        |         15 |          1 |          3 |         19 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\ShowMousePos.cs                                                 | C#        |         12 |          2 |          5 |         19 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\UI_ChargeThrow.cs                                               | C#        |         35 |          2 |         14 |         51 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\YoungMechanics.cs                                               | C#        |        129 |         16 |         30 |        175 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\YoungMovment.cs                                                 | C#        |         84 |          3 |         14 |        101 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\TimeLineManager.cs                                                     | C#        |         22 |          1 |         11 |         34 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\boss\BossHealingPot.cs                                                 | C#        |         17 |          0 |          6 |         23 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\boss\Boss_Egg.cs                                                       | C#        |         29 |          2 |          7 |         38 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\boss\bossSystem.cs                                                     | C#        |        217 |          5 |         85 |        307 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\screenShakeHandler.cs                                                  | C#        |         28 |          0 |         16 |         44 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs                         | C#        |         63 |         29 |         37 |        129 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs                    | C#        |         59 |         37 |         40 |        136 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs                         | C#        |         65 |          6 |         27 |         98 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs                         | C#        |         73 |          1 |         19 |         93 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs                         | C#        |         41 |         26 |         19 |         86 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs                    | C#        |        198 |         25 |         69 |        292 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs                      | C#        |         31 |          5 |         16 |         52 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs                      | C#        |         15 |          0 |          5 |         20 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs                      | C#        |         23 |          4 |          9 |         36 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs                          | C#        |         50 |          4 |         15 |         69 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs                  | C#        |         33 |          5 |         14 |         52 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs                        | C#        |         24 |         15 |         20 |         59 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs                     | C#        |         95 |         18 |         46 |        159 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs                  | C#        |         19 |          5 |          4 |         28 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs                | C#        |         37 |          9 |         19 |         65 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs                | C#        |         91 |         11 |         33 |        135 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs            | C#        |         93 |          7 |          6 |        106 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs                  | C#        |         56 |          1 |         17 |         74 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs                | C#        |        170 |         31 |         54 |        255 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs               | C#        |        409 |         97 |        147 |        653 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs                  | C#        |        100 |         17 |         41 |        158 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_B.cs                  | C#        |        250 |        191 |        107 |        548 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_UiFrameRateCounter.cs              | C#        |         96 |          1 |         28 |        125 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TMPro_InstructionOverlay.cs            | C#        |         55 |          6 |         24 |         85 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TeleType.cs                            | C#        |         40 |         15 |         28 |         83 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TextConsoleSimulator.cs                | C#        |         79 |         13 |         29 |        121 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshProFloatingText.cs             | C#        |        135 |         32 |         57 |        224 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs                     | C#        |         46 |         13 |         21 |         80 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs                   | C#        |         48 |         13 |         24 |         85 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs                        | C#        |        105 |         26 |         44 |        175 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs                        | C#        |         99 |         23 |         39 |        161 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs                        | C#        |        112 |         29 |         44 |        185 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs                          | C#        |        112 |         32 |         48 |        192 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs                     | C#        |         87 |         15 |         43 |        145 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                           | ShaderLab |        109 |          2 |         33 |        144 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                 | ShaderLab |        112 |          3 |         31 |        146 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                        | ShaderLab |        109 |          2 |         33 |        144 |
| c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                   | ShaderLab |        243 |          4 |         71 |        318 |
